x,actual_count,proportion
1,2021,0.43359794035614674
2,780,0.167346063076593
3,432,0.0926839733962669
4,291,0.06243295430165201
5,199,0.042694700708002575
6,143,0.030680111564042052
7,119,0.025531001930916113
8,74,0.015876421368804978
9,76,0.01630551383823214
10,51,0.01094185797039262
11,62,0.013301866552242008
12,38,0.00815275691911607
13,32,0.0068654795108345846
14,25,0.005363655867839519
15,32,0.0068654795108345846
16,24,0.005149109633125939
17,23,0.004934563398412358
18,21,0.004505470928985196
19,17,0.0036472859901308732
20,16,0.0034327397554172923
21,22,0.004720017163698777
22,8,0.0017163698777086461
23,6,0.0012872774082814847
24,9,0.001930916112422227
25,13,0.0027891010512765503
26,8,0.0017163698777086461
27,8,0.0017163698777086461
28,10,0.002145462347135808
29,6,0.0012872774082814847
30,5,0.001072731173567904
31,8,0.0017163698777086461
32,5,0.001072731173567904
33,5,0.001072731173567904
34,5,0.001072731173567904
35,3,0.0006436387041407423
36,4,0.0008581849388543231
37,5,0.001072731173567904
38,3,0.0006436387041407423
39,2,0.00042909246942716153
41,4,0.0008581849388543231
42,2,0.00042909246942716153
43,2,0.00042909246942716153
44,2,0.00042909246942716153
45,2,0.00042909246942716153
46,5,0.001072731173567904
47,2,0.00042909246942716153
48,3,0.0006436387041407423
49,1,0.00021454623471358077
52,3,0.0006436387041407423
54,1,0.00021454623471358077
55,2,0.00042909246942716153
56,3,0.0006436387041407423
60,1,0.00021454623471358077
61,2,0.00042909246942716153
62,1,0.00021454623471358077
65,1,0.00021454623471358077
67,1,0.00021454623471358077
68,1,0.00021454623471358077
69,1,0.00021454623471358077
70,1,0.00021454623471358077
74,1,0.00021454623471358077
78,1,0.00021454623471358077
80,1,0.00021454623471358077
81,2,0.00042909246942716153
83,1,0.00021454623471358077
99,1,0.00021454623471358077
102,1,0.00021454623471358077
148,1,0.00021454623471358077
