x,actual_count,proportion
1,5369,0.419748260495661
2,2213,0.17301227425533577
3,1186,0.092721444765851
4,803,0.06277851614416387
5,545,0.04260808380892815
6,372,0.0290829489484794
7,314,0.024548510671565944
8,258,0.020170432335235713
9,209,0.01633961379094676
10,149,0.011648815573450082
11,136,0.010632475959659136
12,138,0.010788835900242358
13,99,0.007739817058869517
14,89,0.006958017355953405
15,93,0.00727073723711985
16,70,0.00547259792041279
17,54,0.00422171839574701
18,62,0.0048471581580799
19,54,0.00422171839574701
20,43,0.0033617387225392853
21,46,0.0035962786334141194
22,44,0.0034399186928308965
23,21,0.001641779376123837
24,24,0.001876319286998671
25,22,0.0017199593464154483
26,35,0.002736298960206395
27,21,0.001641779376123837
28,21,0.001641779376123837
29,19,0.0014854194355406144
30,14,0.001094519584082558
31,22,0.0017199593464154483
32,11,0.0008599796732077241
33,8,0.0006254397623328903
34,17,0.001329059494957392
35,9,0.0007036197326245016
36,12,0.0009381596434993355
37,10,0.0007817997029161129
38,11,0.0008599796732077241
39,4,0.00031271988116644513
40,8,0.0006254397623328903
41,5,0.00039089985145805646
42,9,0.0007036197326245016
43,13,0.0010163396137909467
44,10,0.0007817997029161129
45,4,0.00031271988116644513
46,4,0.00031271988116644513
47,4,0.00031271988116644513
48,10,0.0007817997029161129
49,9,0.0007036197326245016
50,10,0.0007817997029161129
51,5,0.00039089985145805646
53,2,0.00015635994058322257
54,1,7.817997029161128e-05
55,2,0.00015635994058322257
56,2,0.00015635994058322257
57,3,0.00023453991087483386
58,1,7.817997029161128e-05
59,3,0.00023453991087483386
60,2,0.00015635994058322257
61,2,0.00015635994058322257
62,4,0.00031271988116644513
63,3,0.00023453991087483386
64,2,0.00015635994058322257
65,7,0.000547259792041279
66,2,0.00015635994058322257
67,1,7.817997029161128e-05
68,3,0.00023453991087483386
70,2,0.00015635994058322257
72,1,7.817997029161128e-05
74,1,7.817997029161128e-05
75,2,0.00015635994058322257
78,1,7.817997029161128e-05
80,1,7.817997029161128e-05
81,1,7.817997029161128e-05
82,2,0.00015635994058322257
83,2,0.00015635994058322257
84,1,7.817997029161128e-05
86,1,7.817997029161128e-05
87,2,0.00015635994058322257
88,1,7.817997029161128e-05
90,2,0.00015635994058322257
92,1,7.817997029161128e-05
93,1,7.817997029161128e-05
95,1,7.817997029161128e-05
96,1,7.817997029161128e-05
117,1,7.817997029161128e-05
120,2,0.00015635994058322257
136,2,0.00015635994058322257
138,1,7.817997029161128e-05
147,1,7.817997029161128e-05
148,1,7.817997029161128e-05
162,1,7.817997029161128e-05
