x,actual_count,proportion
1,2648,0.4057615691081827
2,1084,0.16610481152313822
3,617,0.09454489733374195
4,431,0.0660435182347533
5,284,0.04351823475329451
6,217,0.0332516089488201
7,175,0.02681581366840331
8,118,0.018081520073551946
9,123,0.01884768617836347
10,94,0.014403922770456636
11,90,0.013790989886607416
12,65,0.0099601593625498
13,59,0.009040760036775973
14,45,0.006895494943303708
15,47,0.007201961385228318
16,42,0.006435795280416794
17,30,0.004596996628869139
18,14,0.0021452650934722646
19,28,0.004290530186944529
20,27,0.004137296965982225
21,21,0.003217897640208397
22,18,0.0027581979773214833
23,10,0.0015323322096230463
24,17,0.002604964756359179
25,20,0.0030646644192460926
26,21,0.003217897640208397
27,4,0.0006129328838492185
28,17,0.002604964756359179
29,9,0.0013790989886607416
30,17,0.002604964756359179
31,8,0.001225865767698437
32,5,0.0007661661048115232
33,10,0.0015323322096230463
34,6,0.0009193993257738277
35,5,0.0007661661048115232
36,4,0.0006129328838492185
37,4,0.0006129328838492185
38,5,0.0007661661048115232
39,7,0.0010726325467361323
40,5,0.0007661661048115232
41,2,0.00030646644192460924
42,8,0.001225865767698437
43,1,0.00015323322096230462
44,4,0.0006129328838492185
45,7,0.0010726325467361323
46,2,0.00030646644192460924
47,4,0.0006129328838492185
48,1,0.00015323322096230462
49,2,0.00030646644192460924
50,2,0.00030646644192460924
51,3,0.00045969966288691386
52,1,0.00015323322096230462
53,1,0.00015323322096230462
54,3,0.00045969966288691386
55,2,0.00030646644192460924
56,2,0.00030646644192460924
57,1,0.00015323322096230462
58,1,0.00015323322096230462
61,2,0.00030646644192460924
62,1,0.00015323322096230462
64,3,0.00045969966288691386
66,1,0.00015323322096230462
67,1,0.00015323322096230462
70,3,0.00045969966288691386
71,2,0.00030646644192460924
72,1,0.00015323322096230462
74,1,0.00015323322096230462
76,1,0.00015323322096230462
82,1,0.00015323322096230462
83,1,0.00015323322096230462
85,1,0.00015323322096230462
90,1,0.00015323322096230462
104,1,0.00015323322096230462
108,1,0.00015323322096230462
112,1,0.00015323322096230462
113,1,0.00015323322096230462
121,1,0.00015323322096230462
127,1,0.00015323322096230462
141,1,0.00015323322096230462
156,1,0.00015323322096230462
